,0
0,#na#
1,$9.99
2,'Neath the Arizona Skies
3,"'night, Mother"
4,(500) Days of Summer
5,*batteries not included
6,...And Justice for All
7,...E tu vivrai nel terrore! L'aldilà
8,06
9,10
10,10 Attitudes
11,10 Cloverfield Lane
12,10 Items or Less
13,10 Things I Hate About You
14,10 Years
15,"10,000 BC"
16,100 Girls
17,100 Rifles
18,101 Dalmatians
19,101 Reykjavík
20,102 Dalmatians
21,11'09''01 - September 11
22,11:14
23,12 Angry Men
24,12 Years a Slave
25,127 Hours
26,13 Ghosts
27,13 Going on 30
28,13 Tzameti
29,1408
30,15 Minutes
31,16 Blocks
32,16 Wishes
33,17 Again
34,18 Again!
35,1941
36,1984
37,1990: I guerrieri del Bronx
38,2 Days in New York
39,2 Days in the Valley
40,2 Fast 2 Furious
41,2 Guns
42,20 Dates
43,20 Feet from Stardom
44,"20,000 Leagues Under the Sea"
45,200 Cigarettes
46,200 Motels
47,2001: A Space Odyssey
48,2010
49,2012
50,2046
51,21
52,21 Grams
53,21 Jump Street
54,21 Up
55,22 Jump Street
56,23
57,24 Hour Party People
58,24: Redemption
59,25 Watts
60,25th Hour
61,27 Dresses
62,28 Days
63,28 Days Later
64,28 Up
65,28 Weeks Later
66,29th and Gay
67,3 Idiots
68,3 Ninjas
69,3 Ninjas Kick Back
70,3 Ninjas Knuckle Up
71,3 Ninjas: High Noon at Mega Mountain
72,3 Women
73,3-Day Weekend
74,30 Days of Night
75,30 Minutes or Less
76,30 YEARS TO LIFE
77,300
78,3000 Miles to Graceland
79,300: Rise of an Empire
80,35 Up
81,37°2 le matin
82,3:10 to Yuma
83,4 Little Girls
84,4 for Texas
85,"4 luni, 3 săptămîni și 2 zile"
86,40 Days and 40 Nights
87,42
88,42 Up
89,42nd Street
90,45 Years
91,47 Ronin
92,48 Hrs.
93,49 Up
94,49th Parallel
95,4: Rise of the Silver Surfer
96,50 First Dates
97,50/50
98,52 Pick-Up
99,54
100,56 Up
101,5x2
102,61*
103,7 Days in Hell
104,7 Plus Seven
105,71 Fragmente einer Chronologie des Zufalls
106,8 Heads in a Duffel Bag
107,8 Mile
108,8 Seconds
109,8 femmes
110,8 ½ Women
111,84 Charing Cross Road
112,88 Minutes
113,8MM
114,8½
115,9
116,96 Minutes
117,99 Homes
118,A Beautiful Mind
119,A Boy and His Dog
120,A Bridge Too Far
121,A Brief History of Time
122,A Bronx Tale
123,A Bug's Life
124,A Charlie Brown Christmas
125,A Chorus Line
126,A Christmas Carol
127,A Christmas Story
128,A Cinderella Story
129,A Civil Action
130,A Clockwork Orange
131,A Close Shave
132,"A Cool, Dry Place"
133,A Cry in the Dark
134,A Damsel in Distress
135,A Dangerous Method
136,A Day at the Races
137,A Deadly Adoption
138,A Decade Under the Influence
139,A Dirty Shame
140,A Dog's Life
141,A Double Life
142,A Face in the Crowd
143,A Family Thing
144,A Fantastic Fear of Everything
145,A Far Off Place
146,A Farewell to Arms
147,A Few Good Men
148,A Fish Called Wanda
149,"A Fragile Trust: Plagiarism, Power, and Jayson Blair at the New York Times"
150,A Funny Thing Happened on the Way to the Forum
151,A Girl Walks Home Alone at Night
152,A Good Day to Die Hard
153,A Goofy Movie
154,A Grand Day Out
155,A Guide To Recognizing Your Saints
156,A Guy Thing
157,A Hard Day's Night
158,A History of Violence
159,A Home at the End of the World
160,A Kid in King Arthur's Court
161,A King in New York
162,A Kiss Before Dying
163,A Knight's Tale
164,A League of Ordinary Gentlemen
165,A League of Their Own
166,A Letter to Elia
167,A Letter to Three Wives
168,A Life Less Ordinary
169,A Little Princess
170,A Little Romance
171,A Lot Like Love
172,A Love Song for Bobby Long
173,A Low Down Dirty Shame
174,A Légy
175,A Man for All Seasons
176,A Map of the World
